country,code,year,share
Moldova,MDA,2017,1.257300003
Mongolia,MNG,2012,9.306178679
Mongolia,MNG,2017,9.881061318
Montenegro,MNE,2012,3.726085832
Montenegro,MNE,2017,4.178031433
Morocco,MAR,2012,1.874473856
Morocco,MAR,2017,1.755065434
Mozambique,MOZ,2012,0.116089083
Mozambique,MOZ,2017,0.346301927
Myanmar,MMR,2012,0.214767262
Myanmar,MMR,2017,0.474666197
Namibia,NAM,2012,1.485962047
Namibia,NAM,2017,1.604414716
Nauru,NRU,2012,3.846535598
Nauru,NRU,2017,4.942013381
Nepal,NPL,2012,0.199700989
Nepal,NPL,2017,0.308077017
Netherlands,NLD,2012,9.824754911
Netherlands,NLD,2017,9.629404939
New Zealand,NZL,2012,8.050880004
New Zealand,NZL,2017,7.653064137
Nicaragua,NIC,2012,0.773992877
Nicaragua,NIC,2017,0.872182453
Niger,NER,2012,0.104696987
Niger,NER,2017,0.115708958
Nigeria,NGA,2012,0.577216881
Nigeria,NGA,2017,0.562119378
North Korea,PRK,2012,1.940501839
North Korea,PRK,2017,2.276083245
Norway,NOR,2012,8.890813532
Norway,NOR,2017,8.442342323
Oman,OMN,2012,16.8395268
Oman,OMN,2017,14.06011545
Pakistan,PAK,2012,0.897792255
Pakistan,PAK,2017,1.009105933
Palau,PLW,2012,12.17920802
Palau,PLW,2017,14.10974872
Palestine,PSE,2012,0.511855757
Palestine,PSE,2017,0.471066916
Panama,PAN,2012,2.611192689
Panama,PAN,2017,2.454248535
Papua New Guinea,PNG,2012,0.679678772
Papua New Guinea,PNG,2017,0.895327119
Paraguay,PRY,2012,0.814125373
Paraguay,PRY,2017,0.858906273
Peru,PER,2012,1.788443057
Peru,PER,2017,2.014005905
Philippines,PHL,2012,0.918036738
Philippines,PHL,2017,1.216262735
Poland,POL,2012,8.461340998
Poland,POL,2017,8.55641737
Portugal,PRT,2012,4.713545942
Portugal,PRT,2017,5.3113436
Qatar,QAT,2012,44.1888674
Qatar,QAT,2017,49.1826235
Romania,ROU,2012,4.279402813
Romania,ROU,2017,4.064956597
Russia,RUS,2012,12.03522741
Russia,RUS,2017,11.75635621
Rwanda,RWA,2012,0.067155027
Rwanda,RWA,2017,0.083937245
Saint Kitts and Nevis,KNA,2012,4.180182921
Saint Kitts and Nevis,KNA,2017,4.437827085
Saint Lucia,LCA,2012,2.326216147
Saint Lucia,LCA,2017,2.419673794
Saint Vincent and the Grenadines,VCT,2012,2.312454266
Saint Vincent and the Grenadines,VCT,2017,2.022074852
Samoa,WSM,2012,1.045783693
Samoa,WSM,2017,1.187037671
San Marino,SMR,2012,0
San Marino,SMR,2017,0
Sao Tome and Principe,STP,2012,0.621054301
Sao Tome and Principe,STP,2017,0.574923921
Saudi Arabia,SAU,2012,19.36232487
Saudi Arabia,SAU,2017,19.27885668
Senegal,SEN,2012,0.537297772
Senegal,SEN,2017,0.587894421
Serbia,SRB,2012,4.881607023
Serbia,SRB,2017,5.129673318
Seychelles,SYC,2012,4.764371241
Seychelles,SYC,2017,6.428831291
Sierra Leone,SLE,2012,0.127257891
Sierra Leone,SLE,2017,0.18425935
Singapore,SGP,2012,6.894992523
Singapore,SGP,2017,11.3446919
Slovakia,SVK,2012,6.665790387
Slovakia,SVK,2017,6.495670302
Slovenia,SVN,2012,7.668817583
Slovenia,SVN,2017,7.023927786
Solomon Islands,SLB,2012,0.358739581
Solomon Islands,SLB,2017,0.388488721
Somalia,SOM,2012,0.047652356
Somalia,SOM,2017,0.050798884
South Africa,ZAF,2012,8.813139537
South Africa,ZAF,2017,8.045629359
South Korea,KOR,2012,11.68379896
South Korea,KOR,2017,12.08454209
South Sudan,SSD,2012,0
South Sudan,SSD,2017,0.146367752
Spain,ESP,2012,5.960024668
Spain,ESP,2017,6.071105801
Sri Lanka,LKA,2012,0.772391358
Sri Lanka,LKA,2017,1.108325816
Sudan,SDN,2012,0
Sudan,SDN,2017,0.449157561
Suriname,SUR,2012,4.178823986
Suriname,SUR,2017,3.645117962
Swaziland,SWZ,2012,0.965787985
Swaziland,SWZ,2017,0.982809997
Sweden,SWE,2012,4.863643077
Sweden,SWE,2017,4.187546884
Switzerland,CHE,2012,5.260537425
Switzerland,CHE,2017,4.727937899
Syria,SYR,2012,2.144395334
Syria,SYR,2017,1.527897518
Taiwan,TWN,2012,11.00435503
Taiwan,TWN,2017,11.49241475
Tajikistan,TJK,2012,0.363510908
Tajikistan,TJK,2017,0.640192117
Tanzania,TZA,2012,0.188213486
Tanzania,TZA,2017,0.248307848
Thailand,THA,2012,4.328526052
Thailand,THA,2017,4.792171235
Timor,TLS,2012,0.25339742
Timor,TLS,2017,0.426384525
Togo,TGO,2012,0.334219552
Togo,TGO,2017,0.383593389
Tonga,TON,2012,1.012434374
Tonga,TON,2017,1.319199408
Trinidad and Tobago,TTO,2012,33.77375766
Trinidad and Tobago,TTO,2017,29.72496084
Tunisia,TUN,2012,2.41638732
Tunisia,TUN,2017,2.439632238
Turkey,TUR,2012,4.749033074
Turkey,TUR,2017,5.547056348
Turkmenistan,TKM,2012,12.25035618
Turkmenistan,TKM,2017,12.6261789
Tuvalu,TUV,2012,1.024895105
Tuvalu,TUV,2017,1.15748213
Uganda,UGA,2012,0.106334861
Uganda,UGA,2017,0.134914368
Ukraine,UKR,2012,6.697012905
Ukraine,UKR,2017,4.79652018
United Arab Emirates,ARE,2012,19.54099853
United Arab Emirates,ARE,2017,24.65637052
United Kingdom,GBR,2012,7.590167302
United Kingdom,GBR,2017,5.812897782
United States,USA,2012,17.12774837
United States,USA,2017,16.24094876
Uruguay,URY,2012,2.529775417
Uruguay,URY,2017,1.978835539
Uzbekistan,UZB,2012,3.897046389
Uzbekistan,UZB,2017,3.102380403
Vanuatu,VUT,2012,0.458953068
Vanuatu,VUT,2017,0.656533825
Vatican,VAT,2012,0
Vatican,VAT,2017,0
Venezuela,VEN,2012,6.614566283
Venezuela,VEN,2017,4.99006508
Vietnam,VNM,2012,1.496655694
Vietnam,VNM,2017,2.081064308
World,OWID_WRL,2012,4.900383325
World,OWID_WRL,2017,4.789869769
Yemen,YEM,2012,0.732166755
Yemen,YEM,2017,0.671344171
Zambia,ZMB,2012,0.236780739
Zambia,ZMB,2017,0.277647826
Zimbabwe,ZWE,2012,0.517618809
Zimbabwe,ZWE,2017,0.629024734
