Entity,Code,Year,Deaths_Self_Harm_Percent
Denmark,DNK,2017,1.2813872558782766
Djibouti,DJI,2012,0.843667728159666
Djibouti,DJI,2017,0.9774079406700636
Dominica,DMA,2012,0.531999540728794
Dominica,DMA,2017,0.513566709069086
Dominican Republic,DOM,2012,1.259944417510128
Dominican Republic,DOM,2017,1.3793253387060778
East Asia,,2012,1.3926629053999
East Asia,,2017,1.2538189510632876
Eastern Europe,,2012,2.355162680386494
Eastern Europe,,2017,2.2468416351117177
Eastern Sub-Saharan Africa,,2012,0.7693409017789561
Eastern Sub-Saharan Africa,,2017,0.909916260202802
Ecuador,ECU,2012,1.9443234900627882
Ecuador,ECU,2017,1.7869356565074788
Egypt,EGY,2012,0.9284000676862091
Egypt,EGY,2017,0.9517516278726764
El Salvador,SLV,2012,1.303083578250149
El Salvador,SLV,2017,1.4745851406679689
England,,2012,0.8935668895891886
England,,2017,0.908935397598431
Equatorial Guinea,GNQ,2012,0.6807453280731927
Equatorial Guinea,GNQ,2017,0.9078342711436806
Eritrea,ERI,2012,1.2068798488663695
Eritrea,ERI,2017,1.3431825734266136
Estonia,EST,2012,1.6851119864252524
Estonia,EST,2017,1.4350771374654099
Ethiopia,ETH,2012,0.8274730064379827
Ethiopia,ETH,2017,0.9510131631164755
Fiji,FJI,2012,1.2661924401714568
Fiji,FJI,2017,1.1775622704493651
Finland,FIN,2012,1.8623490583211864
Finland,FIN,2017,1.5764100447270317
France,FRA,2012,2.189410592004901
France,FRA,2017,1.9106839968766374
Gabon,GAB,2012,1.1553305077126015
Gabon,GAB,2017,1.4192733777614752
Gambia,GMB,2012,0.7738959925350058
Gambia,GMB,2017,0.8739821309191413
Georgia,GEO,2012,0.6299730545449647
Georgia,GEO,2017,0.6827410558873122
Germany,DEU,2012,1.3176948005147273
Germany,DEU,2017,1.2890623522567
Ghana,GHA,2012,0.829039528964892
Ghana,GHA,2017,0.9462429487215749
Greece,GRC,2012,0.4767784796055367
Greece,GRC,2017,0.43031773502336457
Greenland,GRL,2012,8.967860660455111
Greenland,GRL,2017,7.2119675020719445
Grenada,GRD,2012,0.5996360535270061
Grenada,GRD,2017,0.5362231493148765
Guam,GUM,2012,2.949881633001881
Guam,GUM,2017,2.761063769451159
Guatemala,GTM,2012,1.0521442887397496
Guatemala,GTM,2017,1.0763731481786525
Guinea,GIN,2012,0.5930396944846767
Guinea,GIN,2017,0.6886428364424866
Guinea-Bissau,GNB,2012,0.7755282442269764
Guinea-Bissau,GNB,2017,0.9073559997354144
Guyana,GUY,2012,3.665405810939573
Guyana,GUY,2017,3.4061099545225764
Haiti,HTI,2012,0.8550420249802195
Haiti,HTI,2017,0.9419838121722852
High SDI,,2012,1.8007106972573204
High SDI,,2017,1.6568666147374542
High-income,,2012,1.7849199144368704
High-income,,2017,1.654207797378196
High-income Asia Pacific,,2012,3.1175071983483877
High-income Asia Pacific,,2017,2.6324805449966755
High-middle SDI,,2012,1.5366649114245905
High-middle SDI,,2017,1.4024887407139282
Honduras,HND,2012,0.6867840800009746
Honduras,HND,2017,0.7923117035165463
Hungary,HUN,2012,1.8274990116486416
Hungary,HUN,2017,1.659641867379045
Iceland,ISL,2012,1.9089287368808823
Iceland,ISL,2017,1.8103359287928202
India,IND,2012,2.2536133500094815
India,IND,2017,2.127877534505993
Indonesia,IDN,2012,0.5062301122218166
Indonesia,IDN,2017,0.4817232960831148
Iran,IRN,2012,1.4335124994974604
Iran,IRN,2017,1.2556179985462592
Iraq,IRQ,2012,1.2387346499590142
Iraq,IRQ,2017,0.99454087538481
Ireland,IRL,2012,1.854090073328047
Ireland,IRL,2017,1.4697696193133283
Israel,ISR,2012,1.2885185924918958
Israel,ISR,2017,1.187182403016596
Italy,ITA,2012,0.7808469270706502
Italy,ITA,2017,0.6971266465144482
