country,code,year,arrivals
Tunisia,TUN,2006,6550000
Tunisia,TUN,2016,5724000
Turkey,TUR,2006,18916000
Turkey,TUR,2016,30289000
Turkmenistan,TKM,2006,5600
Turks and Caicos Islands,TCA,2006,248000
Turks and Caicos Islands,TCA,2016,454000
Tuvalu,TUV,2006,1100
Tuvalu,TUV,2016,2500
Uganda,UGA,2006,539000
Uganda,UGA,2016,1323000
Ukraine,UKR,2006,18936000
Ukraine,UKR,2016,13333000
United Kingdom,GBR,2006,30654000
United Kingdom,GBR,2016,35814000
United States,USA,2006,50977000
United States,USA,2016,75608000
United States Virgin Islands,VIR,2006,571000
Upper middle income,,2006,217526032.048269
Upper middle income,,2016,337029449.067762
Uruguay,URY,2006,1749000
Uruguay,URY,2016,3037000
Uzbekistan,UZB,2006,560000
Vanuatu,VUT,2006,68000
Vanuatu,VUT,2016,95100
Venezuela,VEN,2006,748000
Venezuela,VEN,2016,601000
Vietnam,VNM,2006,3583000
Vietnam,VNM,2016,10013000
World,OWID_WRL,2006,857078240.854421
World,OWID_WRL,2016,1244960952.22499
Yemen,YEM,2006,1061000
Zambia,ZMB,2006,757000
Zambia,ZMB,2016,956000
Zimbabwe,ZWE,2006,2287000
Zimbabwe,ZWE,2016,2168000
