Wskaźnik;;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;NakładyinwestycyjnewedługsekcjiPKD;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;Wartośćkosztorysowainwestycjirozpoczętych
2010;3;55422,8;86,2;55400,1;86,2;22622,8;86,3;25863,8;80,9;6234,7;120,6;22,7;40,4;;34004,8;84,8;2757,3;77,1;18386;74,1;8458,9;109,1;4402,6;111,1;1806,6;86,2;6007,1;78,9;4491;98,3;3412,6;81,6;1106,1;91,5;37117
2010;4;89236,8;96,8;89197,6;96,9;37526,1;96,5;40598,3;91,4;10089,6;129,4;39,2;48,8;;54509,9;93,4;4572,7;92,4;27923,8;80,3;14882;121,6;7131,4;111,5;2773,5;93,9;9104,7;85,2;7820,9;112,3;5973,8;94,5;1650,3;82,3;48568,9
2011;1;15229,3;102,6;15220,6;102,8;5352,1;90,6;7576,3;107,1;2039,4;127,4;8,7;57,7;;9077;104,6;903,1;94,5;5252,5;106,6;2438,7;136,4;482,7;47,9;520,9;139;1549,2;70,1;1400,9;149,5;1089,6;100,8;205,6;90,5;x
2011;2;37466,9;109;37449,7;109;14081,7;104,7;18146;110,7;4749,8;116,4;17,2;84,6;;22294,8;106,4;2161,8;106,7;12432,2;107,5;6190,5;127,8;1510,3;60;1338,1;146,7;3631,6;90,3;3606,7;134,8;2467,7;108;601,2;88,6;23640,2
2011;3;62272,6;112;62246,9;112,1;23600,2;103,5;29661,6;115;8117,8;130,9;25,7;107,1;;37217,9;109,4;3766,8;136,6;20289,4;110,4;10517,5;124,3;2644,2;60,1;2109,1;116,7;5836,8;97,2;6588,4;146,7;3611,6;105,8;1020,9;92,3;38211,6
2011;4;99853,7;110,8;99803;110,8;39067;103,1;47070,5;115,1;12362,4;122,4;50,7;128,3;;59169,1;108,5;6012,9;131,5;31708,4;113,6;16862,8;113,3;4585;64,3;3079,4;111;9559,6;105;11395,9;145,7;6278,6;105,1;1509,8;91,5;51503,6
2012;1;17641,1;112,3;17633,2;112,3;6042,2;111,3;8830,7;110,8;2554,4;120,3;7,9;89,2;;10402,7;114,6;1365,8;151,2;5930,4;112,9;2463,7;101;642,9;133,2;412,3;79,2;2070,8;133,7;1655,2;118,2;1174,8;107,8;213,2;103,7;x
2012;2;41518,3;107,6;41501,6;107,6;15667,7;110,1;20276,9;106,5;5157,8;104,4;16,7;96;;24548,5;110,1;3151,3;145,8;13358,1;107,4;6291,1;101,6;1748;115,7;1092,7;81,7;4310,6;118,7;4597,4;127,5;2640,4;107;491;81,7;21194,2
2012;3;66258,5;104,4;66233,5;104,4;26182,2;110,3;31834,5;103,5;7577,3;90,7;25;92;;40079,8;107,7;4846,6;128,7;21562,2;106,3;10797,2;102,7;2873,8;108,7;1761,5;83,5;6577,5;112,7;7399,7;112,3;3892,7;107,8;856,5;83,9;30976,4
2012;4;99719;99,1;99664,3;99,1;40469,2;103,4;47260,4;98,4;11054,3;87,8;54,7;107;;60300,6;101,9;7263,6;120,8;31523,8;99,4;16960,6;100,6;4552,6;99,3;2524,6;82;9892,5;103,5;11872,5;104,2;5802,7;92,4;1380,9;91,5;44038,7
2013;1;17103,4;98,4;17091,8;98,3;6284,7;105,7;8511,3;98,2;2044,3;81,3;11,6;144,2;;10417,2;100,1;1243,5;91;5817,1;98,1;2778,8;112,8;577,7;89,9;426,3;103,4;1785,6;86,2;1582,6;95,6;1116,3;95;275,3;129,1;x
2013;2;40997,3;100,2;40980,4;100,2;15478,8;100,6;19821,5;99,2;5234,1;103;16,9;103,1;;24643,1;100,4;2957,7;93,8;13888,7;104;6314,9;100,4;1482,1;84,8;931,1;85,2;3943,4;91,5;4819,6;104,8;2517,5;95,3;625,1;127,3;23904,1
2013;3;66665,5;102,2;66639,3;102,2;26507,9;103,1;31467,5;100,1;8062,4;107,8;26,2;99,1;;40194;100,3;4786;98,7;21880;101,5;10798,6;100;2729,5;95;1450,5;82,3;6384,3;97,1;8280,9;111,9;3717,1;95,5;1012,7;118,2;36003,8
2013;4;104061,4;106,1;103986,3;106,1;42985,3;108,2;48480,8;104;11760,1;107,8;75,1;136,2;;62649,9;103,9;7170;98,7;33671,3;106,8;17386,9;102,5;4421,7;97,1;2092,1;82,9;10110,8;102,2;13381,3;112,7;5639,3;97,2;1604,5;116,2;49776,1
2014;1;19503,2;116,3;19491,4;116,3;7118,8;115,1;9238,6;109,9;2940,7;146,6;11,8;103,7;;11418,9;109,6;1407,7;113,2;6581;113,1;2731,5;98,3;698,7;120,9;404,2;94,8;2236,8;125,3;2317,2;146,4;916,5;82,1;265,8;96,5;x
2014;2;46011,9;114,4;45989,2;114,4;17627,8;115,6;21422,1;109,9;6280,1;122,5;22,7;136,4;;27265,9;110,6;2894,7;97,9;15278,3;110;7253,4;114,9;1839,5;124,1;1076,1;115,6;4819,4;122,2;5879,3;122;2011,8;79,9;593,3;94,9;21911,4
2014;3;75286,7;115;75251,2;115;30039,6;114,8;34827,1;112,8;9413,6;119,1;35,5;137,3;;45647;113,6;4347,6;90,8;24980,1;114,2;12829,5;118,8;3489,8;127,9;1540;106,2;7000,8;109,7;9977;120,5;3219,4;86,6;1006,2;99,4;34923,6
2014;4;119982,2;116,9;119848,6;116,8;48985,7;115,3;55088;115,2;14368;124;133,6;180,1;;74086,9;118,3;7483,9;104,4;39680,3;117,8;21244,8;122,2;5677,9;128,4;2440,6;116,7;10345,5;102,3;16787;125,5;4981,8;88,3;1590,8;99,1;49350,1
2015;1;22663,6;115,4;22647,4;115,4;8218;115,9;11279,7;119,8;2820,4;94,6;16,2;137,8;;14712;128,8;1139,3;80,9;7818,1;118,8;4811,4;176,1;943,2;135;480,8;119;2004,4;89,6;2122,7;91,6;936,8;102,2;308,9;116,2;x
2015;2;51713,3;110,9;51683,5;110,9;20034,3;114,1;24435;110,9;6411,3;100,1;29,8;131,8;;32951,1;120,9;2587;89,4;17939,5;117,4;10146,3;139,9;2278,3;123,9;1263,2;117,4;4422,8;91,8;5431,2;92,4;2143,7;106,6;622,3;104,9;24176,5
2015;3;85807;112,3;85743,7;112,3;34023,3;113,7;40602,9;113,2;9898,3;103;63,3;179;;54531;119,5;3858,5;88,8;29801,3;119,3;17020,8;132,7;3850,4;110,3;2348,9;152,5;6896,9;98,5;9981,4;100;3501,2;108,8;1073,3;106,7;34535
2015;4;136474,6;111,9;136369,8;111,9;53633,2;110;63264,9;111;17798,6;121;104,8;78,8;;84481,8;114;5796,5;77,5;45410,7;114,4;27071,3;127,4;6203,3;109,3;3450;141,4;10119,6;97,8;19570,8;116,6;5703,4;114,5;1631;102,5;49317,1
2016;1;21301,1;91,1;21286,4;91,1;7241,8;88,7;10703,5;90,5;2965,4;100,9;14,7;91,4;;14049,3;95,5;1160,9;101,9;8440,6;108;4007,5;83,3;440,3;46,7;493,9;102,7;1945,7;97,1;1309,9;61,7;992,5;105,9;207,9;67,3;x
2016;2;49368;92,9;49340;92,9;16962;85,3;24534,5;96,7;6918,9;103,7;28;94,6;;32096,3;97,4;2516,6;97,3;19295,4;107,6;9149,1;90,2;1135,2;49,8;1132,6;89,7;4433,2;100,2;3388,6;62,4;2211,4;103,2;504,5;81,1;27371
2016;3;79886,5;90,9;79838,5;90,9;27824,8;82,2;40197,2;95,7;10574,4;102,9;48;76,2;;51961,9;95,3;3727,8;96,6;31609;106,1;14708,6;86,4;1916,5;49,8;1897;80,8;7087,4;102,8;5972,7;59,8;3467,2;99;858,2;80;38310,9
2016;4;120825,1;86,8;120767,9;86,8;42660,3;79,9;61565,9;94,6;15016,2;81,5;57,2;54,8;;77846,5;92,1;5401;93,2;47402,3;104,4;22022,9;81,4;3020,3;48,7;2723,7;78,9;10831,2;107;10121,4;51,7;5570,1;97,7;1339,3;82,1;58085,6
2017;1;21551,4;99,6;21541,4;99,6;6455,6;88,9;11443,5;105,1;3260,6;107;10;67,8;;13904,8;99;903,1;77,8;8946,3;106;3625,2;90,5;430,2;97,7;473,2;95,8;2228,1;114,5;1128,8;86,2;1057,5;106,5;203,6;97,9;x
2017;2;49209,1;98,9;49188,4;98,9;15469,9;90,9;25253;101,3;7841,2;110,7;20,7;73,7;;30946,3;96,4;1890,5;75,1;20421,7;105,8;7537,5;82,4;1096,6;96,6;1186,8;104,8;4864,4;109,7;3509,7;103,6;2453,6;111;558,3;110,7;34252,7
2017;3;80246,2;99;80214,7;99;26189,1;93,7;40308,5;98,6;12547;115,8;31,5;65,4;;49593,2;95,4;2998,7;80,4;32662,5;103,3;12039,4;81,9;1892,7;98,8;1914,5;100,9;8181;115,4;7083;118,6;3836,6;110,7;897,3;104,6;47436
2017;4;126186,5;103,4;126140,1;103,4;43758,9;102;63457,4;101,6;17742,5;115,6;46,4;80,6;;77441,4;99,5;4798,5;88,8;49853,6;105,2;19597,4;89;3191,9;105,7;2835,4;104,1;12246,7;113,1;13901,9;137,4;5716,3;102,6;1428,2;106,6;64019,7
2018;1;22662,4;105,6;22652,4;105,6;7239,2;110,3;11558;101,9;3581,2;110,2;10;98,3;;13208,4;95;1022,9;113,3;9013,5;100,8;2599,5;71,7;572,5;133,1;549,5;116,1;2879;129,2;2108,5;186,8;1127,4;106,6;265,8;130,6;x
2018;2;54381,3;110,3;54353,7;110,3;18191,5;115,2;27609,6;110,6;7861,4;100,9;27,6;130,6;;32049,3;103,6;2479,8;131,2;21540,4;105,5;6562,4;87,1;1466,7;133,7;1379,5;116,2;6217,6;127,8;5576,4;158,9;2881,1;117,4;645,3;115,6;28182,6
2018;3;89134,9;111,9;89102,9;111,9;31388,2;117;44441,4;112,6;12361,7;99,9;32;99,2;;52185,5;105,2;3958,5;132;34616,3;106;11203;93,1;2407,7;127,2;2383,9;124,5;9922,3;121,3;9964;140,7;4594,6;119,8;1110,3;123,7;41695,1
2018;4;141988;112,2;141936,7;112,2;51831,6;115,3;70662;112,6;18188,4;103,9;51,3;107,7;;83013,7;107,2;6239,2;130;53181,3;106,7;19514,3;99,6;4078,9;127,8;3417,5;120,5;15117,5;123,4;18177,8;130,8;6845,6;119,8;1667,1;116,7;58832,5
2019;1;28120;122,8;28112,9;122,9;9955;132,6;13090,9;114,3;4634,8;131,1;7,1;68,5;;16474,7;124,7;1345,3;131,5;10685,3;118,5;3789,8;145,8;654,3;114,3;608;110,6;2878,5;100;2742,1;130;1557,8;138,2;321;120,8;x
2019;2;65034,9;119;65012;119;23321,7;123,6;30702,7;112,3;10252,4;132,3;22,9;80;;37967,6;118,5;2996,4;120,8;24749,4;114,9;8538,7;130,1;1683;114,7;1269;92;6519,7;104,9;7455;133,7;3354,9;116,4;823,8;127,7;26182,3
2019;3;104527,7;116;104497,6;116;38336,4;117,9;49751,2;112,4;15208,2;124,4;30,1;90,8;;61572,6;118;4810,2;121,5;39487,8;114,1;14322,7;127,8;2952;122,6;2110,4;88,5;10586,1;106,7;12234,1;122,8;5207;113,3;1396,7;125,8;42266,4
