teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
020000;4;09;PO;ŁASICA Dominika Bogumiła;761;0.54;1.77;N;K
020000;4;10;PO;SAWICKA Anna Barbara;1610;1.14;3.75;N;K
020000;4;11;PO;WOJCIECHOWSKA Alina Stefania;800;0.57;1.86;N;K
020000;4;12;PO;MARCONI Wiktor;2427;1.72;5.65;N;M
020000;4;01;PSL;HUK Kazimierz;3146;2.23;13.05;N;M
020000;4;02;PSL;BAĆKO Sylwester Ryszard;2354;1.67;9.76;N;M
020000;4;03;PSL;MAJKOWSKI Władysław;1306;0.92;5.42;N;M
020000;4;04;PSL;JASIŃSKI Andrzej;4618;3.27;19.15;T;M
020000;4;05;PSL;SMOLIŃSKI Wojciech Bartłomiej;1829;1.29;7.59;N;M
020000;4;06;PSL;OTROCIUK Barbara;1626;1.15;6.74;N;K
020000;4;07;PSL;DUMIN Joanna;1478;1.05;6.13;N;K
020000;4;08;PSL;SZYSZKA Monika Małgorzata;1585;1.12;6.57;N;K
020000;4;09;PSL;GRZELAK Katarzyna Aneta;1854;1.31;7.69;N;K
020000;4;10;PSL;SITNIK Ondrasz Bogumił;586;0.41;2.43;N;M
020000;4;11;PSL;SZEWCZYK Bernadetta Beata;1657;1.17;6.87;N;K
020000;4;12;PSL;DULNIK Jerzy Stanisław;2072;1.47;8.59;N;M
020000;4;01;PiS;LEWANDOWSKI Tadeusz Stefan;9662;6.84;35.01;T;M
020000;4;02;PiS;KOPEĆ Franciszek Tadeusz;3300;2.34;11.96;N;M
020000;4;03;PiS;KREDKOWSKI Andrzej;2398;1.70;8.69;N;M
020000;4;04;PiS;WILK Marcin Feliks;1804;1.28;6.54;N;M
020000;4;05;PiS;MIKITA Alicja;1118;0.79;4.05;N;K
020000;4;06;PiS;ROZPĘDOWSKA Elżbieta;1568;1.11;5.68;N;K
020000;4;07;PiS;ZEMBIK Teresa;1735;1.23;6.29;N;K
020000;4;08;PiS;GĘBORYS Dagmara Helena;1444;1.02;5.23;N;K
020000;4;09;PiS;SKOWROŃSKI Janusz Piotr;1254;0.89;4.54;N;M
020000;4;10;PiS;GORCZYŃSKA Iwona Irmina;686;0.49;2.49;N;K
020000;4;11;PiS;CHRZAN Bogusław;853;0.60;3.09;N;M
020000;4;12;PiS;POTOCKI Jacek Krzysztof;1779;1.26;6.45;N;M
020000;4;01;SLD;MALCZUK Grażyna Elżbieta;4102;2.90;18.69;N;K
020000;4;02;SLD;ZAKRZEWSKA Elżbieta;4517;3.20;20.58;N;K
020000;4;03;SLD;JANIK Kazimierz;5492;3.89;25.03;T;M
020000;4;04;SLD;PONIŹNIK Olgierd;4189;2.97;19.09;N;M
020000;4;05;SLD;MATEJEWICZ Katarzyna;403;0.29;1.84;N;K
020000;4;06;SLD;KAWA Kazimierz Franciszek;659;0.47;3.00;N;M
020000;4;07;SLD;ZIÓŁKOWSKA Justyna Małgorzata;749;0.53;3.41;N;K
020000;4;08;SLD;OWOC Tadeusz Henryk;239;0.17;1.09;N;M
020000;4;09;SLD;KWIATKOWSKA Marta;578;0.41;2.63;N;K
020000;4;10;SLD;ŻYLEWICZ Tomasz Łukasz;201;0.14;0.92;N;M
020000;4;11;SLD;TYSZKIEWICZ Grzegorz Feliks;815;0.58;3.71;N;M
020000;5;01;PO;MICHALAK Jerzy Andrzej;6825;4.52;20.83;T;M
020000;5;02;PO;ARYŻ Grzegorz;4513;2.99;13.77;N;M
020000;5;03;PO;SZELĄG Jadwiga;6922;4.58;21.13;T;K
020000;5;04;PO;MAĆKAŁA Tadeusz;5290;3.50;16.15;N;M
020000;5;05;PO;RAK-ROZMYSŁOWSKA Magdalena;609;0.40;1.86;N;K
020000;5;06;PO;MATKOWSKI Robert;1233;0.82;3.76;N;M
020000;5;07;PO;MROCZKOWSKA Emilia Janina;1310;0.87;4.00;N;K
020000;5;08;PO;GAWRYLUK Marta Ewelina;959;0.64;2.93;N;K
020000;5;09;PO;BZIK Ewa Celina;518;0.34;1.58;N;K
020000;5;10;PO;HOFFMAN Renata Izabela;802;0.53;2.45;N;K
020000;5;11;PO;MATUSIAK Czesław;505;0.33;1.54;N;M
020000;5;12;PO;MIKULICZ Maciej Krzysztof;3277;2.17;10.00;N;M
020000;5;01;PSL;SAMBORSKI Tadeusz;10139;6.72;35.46;T;M
020000;5;02;PSL;ANTONISZYN-KLIK Ilona Galia;2906;1.92;10.16;N;K
020000;5;03;PSL;GOŁĘBIOWSKA Wanda Józefa;2799;1.85;9.79;N;K
020000;5;04;PSL;BOCHEŃ Jakub Irmindo;1207;0.80;4.22;N;M
020000;5;05;PSL;WDOWIAK Wanda;1554;1.03;5.43;N;K
020000;5;06;PSL;WRONA Maria;1815;1.20;6.35;N;K
020000;5;07;PSL;SZAROWSKA Krystyna;1007;0.67;3.52;N;K
020000;5;08;PSL;SKAWIŃSKA Jolanta Ewa;1067;0.71;3.73;N;K
020000;5;09;PSL;JUCEWICZ Grzegorz Zygmunt;432;0.29;1.51;N;M
020000;5;10;PSL;DĘBSKI Bogusław Roman;951;0.63;3.33;N;M
020000;5;11;PSL;SZWAGRZYK Jacek Marek;1892;1.25;6.62;N;M
020000;5;12;PSL;BOREK Renata Edyta;2824;1.87;9.88;N;K
020000;5;01;PiS;SKÓRA Krzysztof Ryszard;12812;8.49;32.71;T;M
020000;5;02;PiS;DĄBROWSKI Leszek Marek;3517;2.33;8.98;N;M
020000;5;03;PiS;KUBÓW Krzysztof Jan;7252;4.80;18.51;T;M
020000;5;04;PiS;POBOL Radosław Wojciech;4454;2.95;11.37;N;M
020000;5;05;PiS;KARWAN Piotr Adam;1158;0.77;2.96;N;M
020000;5;06;PiS;WALASEK Izabela Iwona;1476;0.98;3.77;N;K
020000;5;07;PiS;KOWALCZYK Jolanta Małgorzata;2073;1.37;5.29;N;K
020000;5;08;PiS;BIRUT Teresa Mariola;652;0.43;1.66;N;K
020000;5;09;PiS;SZYMAŃSKI Jacek;1174;0.78;3.00;N;M
020000;5;10;PiS;KOSTRZEWA Wiesława;885;0.59;2.26;N;K
020000;5;11;PiS;KWIATKOWSKA Ewa;1844;1.22;4.71;N;K
020000;5;12;PiS;SWAKOŃ Jacek;1877;1.24;4.79;N;M
020000;5;01;SLD;HUZARSKI Michał Seweryn;7435;4.92;48.09;N;M
020000;5;02;SLD;BUTURLA-JAMROZIK Irena;1440;0.95;9.31;N;K
020000;5;03;SLD;WAWRZYNIAK Józef;778;0.52;5.03;N;M
020000;5;04;SLD;MAZUREK Zbigniew;1775;1.18;11.48;N;M
020000;5;05;SLD;JEZIOROWSKA Marzena Dorota;494;0.33;3.20;N;K
020000;5;06;SLD;MICHALLIK-PIASECZNA Grażyna;378;0.25;2.45;N;K
020000;5;07;SLD;BEM Agnieszka Iga;468;0.31;3.03;N;K
020000;5;08;SLD;KRYGIER Piotr Antoni;206;0.14;1.33;N;M
020000;5;09;SLD;DEC Urszula Beata;959;0.64;6.20;N;K
020000;5;10;SLD;TUREK Marek Maciej;240;0.16;1.55;N;M
020000;5;11;SLD;KLEBAN Marcin Stanisław;246;0.16;1.59;N;M
020000;5;12;SLD;PROSZOWSKA Maria Halina;1040;0.69;6.73;N;K
040000;1;01;PO;JAKUTA Dorota;7113;7.41;21.82;T;K
040000;1;02;PO;HARTWICH Edward Ignacy;2145;2.24;6.58;N;M
040000;1;03;PO;ŚWIĄTKOWSKI Maciej;3809;3.97;11.68;N;M
040000;1;04;PO;PAWŁOWICZ Zbigniew Michał;13844;14.43;42.46;T;M
040000;1;05;PO;GRZEŚKOWIAK Maciej Marcin;1810;1.89;5.55;N;M
040000;1;06;PO;CZAJKOWSKA-MALINOWSKA Małgorzata;1325;1.38;4.06;N;K
040000;1;07;PO;NAPIERAJ Krzysztof Kazimierz;372;0.39;1.14;N;M
040000;1;08;PO;ROGOWSKA Małgorzata Ewa;1022;1.07;3.13;N;K
040000;1;09;PO;LAKNER Daniel Krzysztof;318;0.33;0.98;N;M
040000;1;10;PO;GATZA Paulina Maria;846;0.88;2.59;N;K
040000;1;01;PSL;ANKIEWICZ-JASIŃSKA Ewa Teresa;1491;1.55;25.40;N;K
040000;1;02;PSL;SADOWSKA Katarzyna Anna;1195;1.25;20.35;N;K
040000;1;03;PSL;SUSAŁA Anita Karina;369;0.38;6.29;N;K
040000;1;04;PSL;DĄBROWSKI Michał Jarosław;650;0.68;11.07;N;M
040000;1;05;PSL;CYRA Marcin Paweł;326;0.34;5.55;N;M
040000;1;06;PSL;CIEPŁY Piotr Aleksander;339;0.35;5.77;N;M
040000;1;07;PSL;SAPALSKI Tadeusz;354;0.37;6.03;N;M
040000;1;08;PSL;WOLSKI Aleksander Cezary;272;0.28;4.63;N;M
040000;1;09;PSL;GUTKIEWICZ Małgorzata;385;0.40;6.56;N;K
040000;1;10;PSL;PYTLIK Jacek Andrzej;490;0.51;8.35;N;M
040000;1;01;PiS;KRZEMKOWSKI Michał;10505;10.95;39.72;T;M
040000;1;02;PiS;WALKOWIAK Andrzej;5400;5.63;20.42;T;M
040000;1;03;PiS;NOWACKA Agnieszka;2069;2.16;7.82;N;K
040000;1;04;PiS;SAPALSKI Henryk Zygmunt;741;0.77;2.80;N;M
040000;1;05;PiS;SZYMAŃSKA Anna-Maria;919;0.96;3.48;N;K
040000;1;06;PiS;PASTUSZEWSKI Bronisław;3007;3.13;11.37;N;M
040000;1;07;PiS;CHYLICKA-CZERWIŃSKA Magdalena;264;0.28;1.00;N;K
040000;1;08;PiS;LIPIŃSKI Krzysztof Henryk;370;0.39;1.40;N;M
040000;1;09;PiS;JASIAKIEWICZ Wojciech;2017;2.10;7.63;N;M
040000;1;10;PiS;NOWICKA Bogusława Irena;1153;1.20;4.36;N;K
040000;1;01;SLD;KRZYŻANOWSKA Elżbieta;5780;6.02;25.81;N;K
040000;1;02;SLD;JASIAKIEWICZ Roman Franciszek;13143;13.70;58.70;T;M
040000;1;03;SLD;SZYMAŃSKI Wiesław;292;0.30;1.30;N;M
040000;1;04;SLD;SOBCZAK Joanna Małgorzata;388;0.40;1.73;N;K
040000;1;05;SLD;BOJAR Piotr Henryk;211;0.22;0.94;N;M
040000;1;06;SLD;SZCZEPAŃSKA Danuta Beata;235;0.24;1.05;N;K
040000;1;07;SLD;DYNGOSZ Joanna;162;0.17;0.72;N;K
040000;1;08;SLD;TROJANOWSKI Arkadiusz;505;0.53;2.26;N;M
040000;1;09;SLD;JAĆMIERSKA Mariola Maria;135;0.14;0.60;N;K
040000;1;10;SLD;GRUSZKA Grzegorz Stefan;1541;1.61;6.88;N;M
040000;2;01;PO;KATULSKI Jarosław Paweł;8996;8.60;29.40;T;M
040000;2;02;PO;BALBUZA-WALKOWSKA Lucyna Elżbieta;2425;2.32;7.92;N;K
040000;2;03;PO;KNAPIK Paweł Tomasz;5348;5.12;17.48;T;M
040000;2;04;PO;GACA Grzegorz;2601;2.49;8.50;N;M
040000;2;05;PO;DROZDOWSKI Stanisław;2252;2.15;7.36;N;M
040000;2;06;PO;KWAŚNIEWSKA Małgorzata;2094;2.00;6.84;N;K
040000;2;07;PO;SOBCZAK Marek Mirosław;1361;1.30;4.45;N;M
040000;2;08;PO;JANKOWIAK Maria Jolanta;950;0.91;3.10;N;K
