okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
10;05;PiS;Grzegorz Michał WOJCIECHOWSKI;21163;7.41;15.78;T;M
10;06;PiS;Krzysztof MACIEJEWSKI;6818;2.39;5.08;T;M
10;07;PiS;Mariusz Tomasz WĘGRZYNOWSKI;5266;1.84;3.93;N;M
10;08;PiS;Mirosław KUKLIŃSKI;3735;1.31;2.78;N;M
10;09;PiS;Grzegorz Andrzej LOREK;6344;2.22;4.73;N;M
10;10;PiS;Leszek TRĘBSKI;4558;1.60;3.40;N;M
10;11;PiS;Anna Irena PIETRASZKO;1444;0.51;1.08;N;K
10;12;PiS;Zofia Aleksandra SZYMAŃSKA;1878;0.66;1.40;N;K
10;13;PiS;Agnieszka Katarzyna WYSOCKA;3598;1.26;2.68;N;K
10;14;PiS;Ewa Beata WENDROWSKA;1938;0.68;1.44;N;K
10;15;PiS;Magdalena Małgorzata LASOTA;1141;0.40;0.85;N;K
10;16;PiS;Bożena MESZKA-STEFANOWSKA;328;0.11;0.24;N;K
10;17;PiS;Dariusz Jan KUBIAK;8004;2.80;5.97;T;M
10;18;PiS;Jan PAWLIKOWSKI;1735;0.61;1.29;N;M
10;01;SLD;Artur Zygmunt OSTROWSKI;9824;3.44;46.01;N;M
10;02;SLD;Marek Robert DOMARACKI;1142;0.40;5.35;N;M
10;03;SLD;Barbara Ewa PIREK;1008;0.35;4.72;N;K
10;04;SLD;Arkadiusz Stanisław CIACH;2080;0.73;9.74;N;M
10;05;SLD;Agnieszka Dorota WIKTOROWICZ;847;0.30;3.97;N;K
10;06;SLD;Dorota Jadwiga BOGATKO;1046;0.37;4.90;N;K
10;07;SLD;Dominik SZAJBLER;757;0.26;3.55;N;M
10;08;SLD;Marta Elżbieta MARKUN;300;0.10;1.41;N;K
10;09;SLD;Agata WOJTANIA;535;0.19;2.51;N;K
10;10;SLD;Jolanta Ewa DWORZYŃSKA;307;0.11;1.44;N;K
10;11;SLD;Piotr Mariusz PIERKOŚ;262;0.09;1.23;N;M
10;12;SLD;Stanisław Paweł BARYŁA;457;0.16;2.14;N;M
10;13;SLD;Paweł ROCHMIŃSKI;164;0.06;0.77;N;M
10;14;SLD;Agnieszka BIENIAS;423;0.15;1.98;N;K
10;15;SLD;Ewa Justyna JĘDRZEJCZYK;329;0.12;1.54;N;K
10;16;SLD;Katarzyna Genowefa KRZEMIŃSKA;150;0.05;0.70;N;K
10;17;SLD;Maria Bronisława MORAWSKA;389;0.14;1.82;N;K
10;18;SLD;Marek KRAWCZYK;1332;0.47;6.24;N;M
11;01;PO;Cezary Józef TOMCZYK;26781;7.24;34.20;T;M
11;02;PO;Agnieszka Małgorzata HANAJCZYK;12128;3.28;15.49;T;K
11;03;PO;Witold Heronim STĘPIEŃ;5686;1.54;7.26;N;M
11;04;PO;Jacek SIKORA;6498;1.76;8.30;N;M
11;05;PO;Iwona Barbara SZKOPIŃSKA;2511;0.68;3.21;N;K
11;06;PO;Kamil SOBOL;1778;0.48;2.27;N;M
